,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
374,Sorong,68,ID,1545362093,100,-0.86,131.25,81.74,9.24
375,Ancud,20,CL,1545361200,87,-41.87,-73.83,50.0,6.93
376,Ambanja,75,MG,1545361200,100,-13.68,48.45,75.2,2.24
377,Lata,0,IN,1545362095,65,30.78,78.62,22.3,1.07
378,Gryazi,88,RU,1545362096,89,52.5,39.96,13.3,5.37
379,Coahuayana,0,MX,1545362096,67,18.62,-100.35,56.77,3.02
380,Portland,90,US,1545357180,70,45.52,-122.67,47.44,5.82
381,Praia,0,BR,1545357600,61,-20.25,-43.81,77.0,1.68
382,Port-Cartier,90,CA,1545357600,73,50.03,-66.88,24.8,4.7
383,Chik,90,RU,1545361200,69,54.99,82.44,-9.41,11.18
384,Pevek,0,RU,1545362098,100,69.7,170.27,-29.19,5.77
385,Phan Thiet,56,VN,1545361903,91,10.93,108.1,80.89,5.99
386,Soyo,92,AO,1545362098,95,-6.13,12.37,76.52,1.57
387,Patitirion,48,GR,1545362099,100,39.15,23.87,50.74,2.19
388,Tiarei,20,PF,1545361200,66,-17.53,-149.33,86.0,14.99
389,Camacupa,36,AO,1545362100,96,-12.02,17.48,61.63,4.99
390,Nemuro,20,JP,1545361200,100,43.32,145.57,32.0,10.29
391,Marion,90,US,1545360900,92,35.21,-90.2,41.23,14.99
392,Kasungu,92,MW,1545362102,97,-13.04,33.48,66.85,3.47
393,Arlit,0,NE,1545362102,62,18.74,7.39,50.29,3.24
394,Otane,92,NZ,1545362102,94,-39.89,176.62,61.27,2.01
395,Marrakesh,0,MA,1545359400,76,31.63,-7.99,48.2,4.7
396,Moncao,90,PT,1545359400,100,42.08,-8.48,51.8,12.75
397,Bakchar,68,RU,1545362103,67,57.02,82.07,2.68,9.24
398,Cotonou,20,BJ,1545362103,92,6.37,2.43,72.07,2.8
399,Viedma,88,AR,1545362104,90,-40.81,-62.99,60.32,6.22
400,Clarence Town,75,AU,1545359400,64,-32.59,151.78,75.2,18.34
401,Boende,48,CD,1545362104,94,-0.28,20.88,71.57,2.86
402,Mareeba,20,AU,1545359400,66,-16.99,145.42,89.6,11.41
403,Atlantis,0,ZA,1545361200,82,-33.57,18.5,66.2,8.05
404,Rincon,90,US,1545360960,93,32.3,-81.24,61.02,8.05
405,Saint-Joseph,0,FR,1545359400,87,43.56,6.97,42.8,4.7
406,Henties Bay,92,NA,1545362149,100,-22.12,14.28,58.79,3.02
407,Mukhen,0,RU,1545362149,59,48.19,136.14,20.5,4.99
408,Borzya,48,RU,1545362150,67,50.39,116.53,0.65,4.59
409,Cobija,12,BR,1545362150,86,-11.02,-68.77,76.34,2.46
410,Homnabad,0,IN,1545362150,83,17.77,77.13,68.65,6.04
411,Humaita,0,AR,1545361200,88,-24.93,-65.37,71.6,6.93
412,Zaozerne,88,UA,1545362152,94,51.37,23.94,24.5,10.92
413,San Ramon,20,NI,1545362152,98,12.92,-85.84,66.31,1.74
414,Norwich,100,GB,1545360960,93,52.63,1.29,45.37,5.82
415,Olga,1,US,1545361080,44,34.11,-118.17,60.42,4.7
416,Talnakh,0,RU,1545362153,0,69.49,88.39,-43.59,3.53
417,Hambantota,76,LK,1545362153,100,6.12,81.12,78.59,3.2
418,Mangrol,0,IN,1545362153,77,25.33,76.51,47.41,2.86
419,Tetouan,0,MA,1545359400,81,35.57,-5.37,49.08,5.82
420,Mount Isa,36,AU,1545359400,15,-20.73,139.49,107.6,9.17
421,Acapulco,20,MX,1545360060,78,16.86,-99.88,77.0,2.24
422,Ginir,0,ET,1545362156,72,7.14,40.71,46.37,2.46
423,Cornwall,90,CA,1545360900,100,45.02,-74.73,39.15,6.93
424,Bjornevatn,36,NO,1545360600,79,69.67,29.98,26.6,25.28
425,Vostok,0,RU,1545362157,66,46.45,135.83,20.23,2.8
426,South Lake Tahoe,1,US,1545360900,13,38.93,-119.98,49.12,6.93
427,Mortka,68,RU,1545362157,77,59.33,66.02,11.72,8.05
428,Pangnirtung,56,CA,1545362158,61,66.15,-65.72,0.97,3.31
429,Micheweni,8,TZ,1545362158,100,-4.97,39.83,82.19,10.85
430,Padang,20,ID,1545357600,62,-0.92,100.36,86.0,2.24
431,Owando,0,CG,1545362159,92,-0.49,15.91,72.61,2.86
432,Parabel,80,RU,1545362159,76,58.71,81.5,9.92,10.58
433,Mayor Pablo Lagerenza,8,PY,1545362160,55,-19.93,-60.77,85.97,16.78
434,Kailua,90,US,1545361020,78,21.39,-157.74,74.03,8.05
435,Bubaque,20,GW,1545362162,100,11.28,-15.83,80.3,4.36
436,Gambiran,64,ID,1545362162,90,-7.93,111.77,79.4,2.46
437,Inuvik,90,CA,1545358680,75,68.36,-133.71,-13.01,2.86
438,Mezen,76,RU,1545362162,77,65.85,44.24,9.65,5.7
439,Saint-Denis,90,FR,1545359400,87,48.94,2.36,50.45,18.34
440,Dunedin,92,NZ,1545362164,100,-45.87,170.5,52.04,5.32
441,East Wenatchee Bench,1,US,1545360900,40,47.43,-120.28,43.9,33.33
442,Nkhotakota,92,MW,1545362164,100,-12.93,34.3,68.42,1.79
443,Pangkalanbuun,48,ID,1545362164,95,-2.68,111.62,83.59,3.58
444,Hervey Bay,0,AU,1545361200,59,-25.3,152.85,89.6,17.22
445,Tottori,20,JP,1545361200,50,35.5,134.23,53.28,6.93
446,Khipro,0,PK,1545362165,92,25.83,69.38,46.69,3.02
447,Chernyshevskiy,44,RU,1545362166,63,63.01,112.47,-14.25,7.49
448,Sorland,88,NO,1545362166,100,67.67,12.69,40.03,26.84
449,Kutum,0,SD,1545362166,54,14.2,24.66,44.08,11.41
450,Jijiga,0,ET,1545362208,87,9.35,42.8,40.25,1.57
451,Bulalacao,68,PH,1545362209,100,13.7,123.78,78.1,7.05
452,Karpathos,12,GR,1545360600,66,35.51,27.21,55.4,16.11
453,Opichen,5,MX,1545360240,64,20.55,-89.85,71.6,18.34
454,Salekhard,20,RU,1545362109,82,66.54,66.62,21.49,26.17
455,Altamira,36,BR,1545362211,92,-3.2,-52.21,75.89,4.21
456,Half Moon Bay,90,US,1545361200,93,37.46,-122.43,53.31,3.36
457,Samana,88,EC,1545362212,99,0.12,-76.97,69.19,2.24
458,Merta,0,IN,1545362212,63,26.65,74.03,46.55,2.75
459,Boyolangu,32,ID,1545362212,87,-8.09,111.9,80.44,3.76
460,Maumere,36,ID,1545362213,100,-8.63,122.22,83.59,2.98
461,Atasu,0,KZ,1545362213,54,48.68,71.64,-11.1,8.39
462,Albion,1,US,1545360960,81,41.69,-98.0,33.4,8.05
463,Vardo,90,US,1545361500,89,39.62,-77.74,37.8,9.17
464,Freeport,68,BS,1545362214,100,26.54,-78.7,77.47,36.19
465,Moosomin,8,CA,1545362214,52,50.14,-101.67,7.09,7.23
466,Tazovskiy,80,RU,1545362215,85,67.47,78.7,-13.98,24.05
467,Palauig,12,PH,1545362215,74,15.44,119.9,84.94,5.77
468,Yar-Sale,88,RU,1545362216,90,66.83,70.83,25.54,19.19
469,Plettenberg Bay,0,ZA,1545362216,98,-34.05,23.37,65.68,7.9
470,Mont-Dore,8,NC,1545361200,55,-22.23,166.53,91.4,14.99
471,Forestville,90,CA,1545357600,79,48.74,-69.09,28.4,4.7
472,Kisangani,44,CD,1545362217,84,0.52,25.21,74.09,2.3
473,Karpinsk,32,RU,1545362217,79,59.76,60.01,10.78,6.38
474,Aksay,75,RU,1545361200,100,47.27,39.86,26.6,13.42
475,Huangpi,40,CN,1545361200,93,30.88,114.37,51.8,2.24
476,Yangambi,64,CD,1545362219,74,0.77,24.47,76.03,3.31
477,Nishihara,20,JP,1545361200,89,35.74,139.53,54.46,5.82
478,Darhan,64,MN,1545362219,63,49.49,105.92,7.04,8.57
479,Wendelstein,75,DE,1545360960,86,49.36,11.14,39.31,9.17
480,Piriyapatna,0,IN,1545362221,91,12.34,76.1,68.69,4.99
481,Berlevag,0,NO,1545362221,100,70.86,29.09,5.11,5.88
482,Bali,20,CN,1545362222,100,32.29,119.4,47.54,4.36
483,Cumberland,90,US,1545361140,88,41.97,-71.43,42.8,4.7
484,Beringovskiy,24,RU,1545362223,100,63.05,179.32,-7.86,16.06
485,Hualmay,20,PE,1545362224,95,-11.1,-77.61,64.69,4.54
486,Kahului,40,US,1545360960,73,20.89,-156.47,72.72,13.87
487,Dukat,24,RS,1545362224,68,42.44,22.31,15.32,1.97
488,Natchez,90,US,1545360960,74,31.56,-91.4,49.12,11.41
489,Hobyo,0,SO,1545362224,79,5.35,48.53,78.01,18.79
490,Pueblo Nuevo,0,MX,1545362225,88,23.99,-106.96,63.2,3.47
491,Borborema,8,BR,1545362225,86,-21.62,-49.07,77.24,2.8
492,Vao,80,EE,1545362226,83,59.1,26.19,16.27,9.91
493,Paarl,0,ZA,1545361200,82,-33.74,18.98,66.2,8.05
494,Santa Fe,90,AR,1545361800,94,-31.62,-60.7,68.0,9.17
495,Yerbogachen,20,RU,1545362269,21,61.28,108.01,-13.98,9.84
496,Sinnamary,80,GF,1545362270,95,5.38,-52.96,79.63,14.88
497,Lumberton,1,US,1545360900,43,30.27,-94.2,54.01,12.75
498,Victoria Point,20,AU,1545361200,70,-27.58,153.3,88.39,23.04
499,Port Keats,0,AU,1545362270,74,-14.25,129.55,94.93,7.83
500,Camacha,75,PT,1545359400,88,33.08,-16.33,62.6,6.93
501,Flinders,90,AU,1545361260,93,-34.58,150.85,66.2,6.93
502,Xining,8,CN,1545362272,59,36.62,101.77,18.16,3.53
503,The Pas,90,CA,1545359340,85,53.82,-101.24,14.0,9.17
504,Ugoofaaru,64,MV,1545362273,100,5.67,73.0,80.3,9.4
505,Bumba,48,CD,1545362273,67,2.18,22.47,72.97,3.31
506,Bernardino de Campos,24,BR,1545362273,94,-23.01,-49.48,73.1,2.57
507,Paamiut,0,GL,1545362274,83,61.99,-49.67,32.42,1.79
508,Loa Janan,88,ID,1545362274,84,-0.58,117.09,81.47,2.86
509,Cefalu,48,IT,1545362274,100,38.04,14.02,33.77,1.52
510,Dawei,0,MM,1545362274,65,14.07,98.19,83.14,2.35
511,Poum,56,MK,1545362275,93,41.28,20.71,22.39,1.74
512,Havre-Saint-Pierre,40,CA,1545357600,79,50.23,-63.6,21.2,8.05
513,Point Pedro,92,LK,1545362276,100,9.82,80.23,76.52,13.04
514,Seoul,0,KR,1545361200,39,37.57,126.98,44.11,3.36
515,Tautira,20,PF,1545361200,66,-17.73,-149.15,86.0,14.99
516,Faanui,12,PF,1545362277,100,-16.48,-151.75,82.87,12.53
517,Lesosibirsk,32,RU,1545362277,63,58.22,92.49,-7.9,7.34
518,Rio Grande,64,BR,1545362278,97,-32.03,-52.1,70.81,6.22
519,Waingapu,0,ID,1545362278,58,-9.65,120.26,89.3,7.9
520,Knysna,40,ZA,1545361800,93,-34.04,23.05,62.6,4.7
521,Beberibe,75,BR,1545361200,83,-4.18,-38.13,80.6,10.29
522,Portales,1,US,1545361080,45,34.19,-103.33,33.1,3.36
523,Dreux,90,FR,1545359400,87,48.74,1.37,51.33,20.8
524,Autun,0,FR,1545359400,70,46.95,4.3,45.45,9.17
525,Cutro,90,IT,1545357300,100,39.04,16.98,39.34,11.41
526,Port-Gentil,80,GA,1545362283,100,-0.72,8.78,78.1,4.21
527,Sidi Bin Nur,20,TN,1545359400,87,35.53,10.92,50.0,2.24
528,Pingliang,80,CN,1545362283,63,35.54,106.68,27.07,1.97
529,Mokhsogollokh,64,RU,1545362284,74,61.4,128.95,-11.64,3.09
530,Anarrakhi,36,GR,1545362284,91,40.48,21.57,20.68,2.3
531,Horasan,56,TR,1545362284,92,40.04,42.16,20.5,2.53
532,Xiantao,20,CN,1545362284,91,30.37,113.44,56.54,6.38
533,Pathein,88,MM,1545362284,99,16.78,94.73,76.48,3.98
534,Topchikha,40,RU,1545361200,76,52.82,83.12,-11.21,15.66
535,Ilek,64,RU,1545362285,82,51.53,53.38,8.57,4.09
536,Bairnsdale,92,AU,1545362286,93,-37.83,147.63,62.12,8.61
537,Killybegs,92,IE,1545362286,100,54.63,-8.45,44.12,4.76
538,Pula,90,EC,1545361200,94,-1.95,-79.93,75.2,8.05
539,Bedesa,0,ET,1545362286,80,8.9,40.78,39.13,2.3
540,Qaqortoq,0,GL,1545362287,78,60.72,-46.03,27.97,2.35
541,Filadelfia,0,PY,1545362329,49,-22.35,-60.04,88.63,15.66
542,Oussouye,0,SN,1545361200,88,12.49,-16.54,75.27,4.7
543,Shangrao,88,CN,1545362330,93,28.45,117.97,56.99,3.2
544,Hargeysa,80,SO,1545362331,96,9.56,44.06,53.71,4.36
545,Luang Prabang,90,LA,1545361200,88,19.89,102.14,69.8,2.24
546,Poindimie,100,NC,1545362333,100,-20.93,165.33,77.56,9.51
547,Nicoya,0,CR,1545361200,88,10.15,-85.45,75.2,4.7
548,Teodoro Sampaio,36,BR,1545362333,81,-22.53,-52.17,76.93,2.86
549,Ruteng,0,ID,1545362333,62,-8.61,120.46,86.38,2.98
550,Dickinson,1,US,1545360960,77,46.88,-102.79,23.0,6.93
551,Ende,44,ID,1545362334,100,-8.84,121.65,83.05,15.88
552,Sena Madureira,20,BR,1545362334,89,-9.07,-68.66,76.3,2.08
553,Moindou,44,NC,1545361200,55,-21.69,165.68,91.4,14.99
554,Shubarshi,56,KZ,1545362335,82,48.59,57.19,8.08,9.35
555,La Baule-Escoublac,92,FR,1545359400,93,47.28,-2.4,54.21,25.28
